Indexer,noterest.NoteRestIndexer
Parts,0
,
0.0,D3
1.0,B2
2.0,C3
3.0,A2
4.0,B2
5.0,D3
6.0,E3
7.0,E3
8.0,F3
9.0,E3
10.0,E3
11.0,D3
12.0,C3
13.0,D3
14.0,D3
15.0,B2
16.0,C3
17.0,D3
18.0,D3
19.0,D3
20.0,C3
21.0,E3
22.0,D3
23.0,D3
24.0,B2
25.0,C3
26.0,D3
27.0,D3
28.0,D3
29.0,D3
30.0,C3
31.0,B2
32.0,A2
33.0,A2
34.0,E3
35.0,F3
36.0,E3
37.0,D3
38.0,C3
39.0,D3
40.0,E3
41.0,D3
42.0,D3
43.0,B2
44.0,C3
45.0,D3
46.0,D3
47.0,D3
48.0,C3
49.0,B2
50.0,A2
51.0,B2
52.0,D3
53.0,E3
54.0,E3
55.0,F3
56.0,E3
57.0,E3
58.0,E3
59.0,E3
60.0,D3
61.0,C3
62.0,D3
63.0,E3
64.0,D3
65.0,D3
66.0,B2
67.0,C3
68.0,D3
69.0,B2
70.0,D3
71.0,E3
72.0,E3
73.0,F3
74.0,E3
75.0,E3
76.0,D3
77.0,C3
78.0,D3
79.0,E3
80.0,D3
81.0,D3
82.0,D3
83.0,C3
84.0,E3
85.0,D3
86.0,D3
87.0,D3
88.0,C3
89.0,E3
90.0,D3
91.0,C3
92.0,B2
93.0,A2
94.0,B2
95.0,D3
96.0,E3
97.0,E3
98.0,D3
99.0,C3
100.0,D3
101.0,D3
102.0,C3
103.0,A2
104.0,B2
105.0,C3
106.0,D3
107.0,B2
108.0,C3
109.0,A2
110.0,B2
111.0,C3
112.0,D3
113.0,B2
114.0,D3
115.0,E3
116.0,E3
117.0,F3
118.0,E3
119.0,E3
120.0,D3
121.0,C3
122.0,D3
123.0,E3
124.0,D3
125.0,D3
126.0,B2
127.0,C3
128.0,D3
129.0,D3
130.0,D3
131.0,C3
132.0,B2
133.0,A2
134.0,B2
135.0,C3
136.0,D3
137.0,D3
138.0,D3
139.0,D3
140.0,D3
141.0,D3
142.0,D3
143.0,C3
144.0,E3
145.0,D3
146.0,D3
147.0,A2
148.0,B2
149.0,C3
150.0,D3
151.0,C3
152.0,B2
153.0,B2
154.0,C3
155.0,A2
156.0,B2
157.0,D3
158.0,E3
159.0,E3
160.0,F3
161.0,E3
162.0,E3
163.0,D3
164.0,C3
165.0,D3
166.0,E3
167.0,D3
168.0,D3
169.0,E3
170.0,F3
171.0,E3
172.0,D3
173.0,C3
174.0,D3
175.0,E3
176.0,D3
177.0,D3
178.0,B2
179.0,C3
180.0,D3
181.0,B2
182.0,C3
183.0,B2
184.0,A2
185.0,B2
186.0,D3
187.0,E3
188.0,E3
189.0,F3
190.0,E3
191.0,E3
192.0,D3
193.0,C3
194.0,D3
195.0,D3
196.0,E3
197.0,F3
198.0,E3
199.0,D3
200.0,C3
201.0,D3
202.0,E3
203.0,D3
204.0,D3
205.0,A2
206.0,B2
207.0,C3
208.0,D3
209.0,B2
210.0,C3
211.0,A2
212.0,B2
213.0,D3
214.0,E3
215.0,E3
216.0,F3
217.0,E3
218.0,D3
219.0,C3
220.0,D3
221.0,D3
222.0,B2
223.0,C3
224.0,D3
225.0,C3
226.0,B2
227.0,D3
228.0,E3
229.0,E3
230.0,F3
231.0,E3
232.0,E3
233.0,E3
234.0,D3
235.0,C3
236.0,D3
237.0,D3
238.0,B2
239.0,C3
240.0,D3
241.0,D3
242.0,D3
243.0,D3
244.0,D3
245.0,D3
246.0,D3
247.0,D3
248.0,D3
249.0,C3
250.0,B2
251.0,A2
252.0,B2
253.0,D3
254.0,E3
255.0,E3
256.0,F3
257.0,E3
258.0,D3
259.0,C3
260.0,D3
261.0,E3
262.0,D3
263.0,D3
264.0,B2
265.0,C3
266.0,D3
267.0,D3
268.0,D3
269.0,C3
270.0,E3
271.0,D3
272.0,D3
273.0,B2
274.0,C3
275.0,D3
276.0,D3
277.0,D3
278.0,D3
279.0,D3
280.0,D3
281.0,C3
282.0,B2
283.0,A2
284.0,A2
285.0,E3
286.0,F3
287.0,E3
288.0,D3
289.0,C3
290.0,D3
291.0,D3
292.0,B2
293.0,C3
294.0,D3
295.0,D3
296.0,D3
297.0,D3
298.0,D3
299.0,C3
300.0,E3
301.0,D3
302.0,D3
303.0,B2
304.0,C3
305.0,D3
306.0,D3
307.0,D3
308.0,D3
309.0,C3
310.0,B2
311.0,C3
312.0,B2
313.0,A2
314.0,B2
315.0,D3
316.0,E3
317.0,E3
318.0,F3
319.0,E3
320.0,E3
321.0,D3
322.0,C3
323.0,D3
324.0,D3
325.0,B2
326.0,C3
327.0,D3
328.0,D3
329.0,D3
330.0,C3
331.0,E3
332.0,D3
333.0,D3
334.0,B2
335.0,C3
336.0,D3
337.0,D3
338.0,D3
339.0,C3
340.0,D3
341.0,E3
342.0,D3
343.0,C3
344.0,B2
345.0,A2
346.0,A2
347.0,E3
348.0,F3
349.0,E3
350.0,E3
351.0,E3
352.0,D3
353.0,D3
354.0,C3
355.0,D3
356.0,E3
357.0,D3
358.0,D3
359.0,B2
360.0,C3
361.0,D3
362.0,D3
363.0,D3
364.0,D3
365.0,C3
366.0,E3
367.0,D3
368.0,B2
369.0,C3
370.0,A2
371.0,B2
372.0,C3
373.0,D3
374.0,E3
375.0,C3
376.0,E3
377.0,D3
378.0,D3
379.0,B2
380.0,C3
381.0,D3
382.0,B2
383.0,C3
384.0,A2
385.0,B2
386.0,C3
387.0,D3
388.0,E3
389.0,C3
390.0,E3
391.0,D3
392.0,D3
393.0,B2
394.0,C3
395.0,D3
396.0,D3
397.0,D3
398.0,C3
399.0,B2
