Indexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer
Parts,0,1,2
,,,
0.0,Rest,Rest,Rest
2.0,,,E4
4.0,Rest,Rest,F4
5.5,,,E4
6.0,,,F4
7.0,,,E4
8.0,Rest,Rest,
8.5,,,D4
9.0,,,C4
9.5,,,B3
10.0,,,A3
10.5,,,B3
11.0,,,C4
11.5,,,D4
12.0,Rest,Rest,E4
13.0,,,D4
14.0,E4,,
15.0,,,C#4
16.0,F4,Rest,D4
17.5,E4,,
18.0,F4,,A3
19.0,E4,,C4
20.0,,Rest,
20.5,D4,,B3
21.0,C4,,A3
21.5,B3,,G3
22.0,A3,,F3
22.5,B3,,
23.0,C4,,A3
23.5,D4,,
24.0,E4,Rest,G3
25.0,D4,,F3
26.0,,E4,E3
27.0,C#4,,
28.0,D4,F4,D3
29.5,,E4,
30.0,A3,F4,Rest
31.0,C4,E4,
32.0,,,Rest
32.5,B3,D4,
33.0,A3,C4,
33.5,G3,B3,
34.0,F3,A3,
34.5,,B3,
35.0,A3,C4,
35.5,,D4,
36.0,G3,E4,Rest
37.0,F3,D4,
38.0,E3,,
39.0,,C#4,
40.0,D3,D4,F4
42.0,Rest,A3,E4
43.0,,C4,
44.0,Rest,,C4
44.5,,B3,
45.0,,A3,
45.5,,G3,
46.0,,F3,
47.0,,A3,
48.0,Rest,G3,D4
49.0,,F3,
50.0,,E3,E4
52.0,F4,D3,Rest
53.0,,,A3
54.0,E4,Rest,
55.0,,,C4
56.0,C4,Rest,
56.5,,,B3
57.0,,,A3
57.5,,,G3
58.0,,,A3
59.0,,,E3
60.0,D4,Rest,F3
62.0,E4,,E3
63.0,,,G3
64.0,Rest,F4,F3
65.0,A3,,E3
65.5,,,D3
66.0,,E4,C3
67.0,C4,,
68.0,,C4,Rest
68.5,B3,,
69.0,A3,,
69.5,G3,,
70.0,A3,,Rest
71.0,E3,,G3
72.0,F3,D4,A3
74.0,E3,E4,B3
75.0,G3,,
76.0,F3,Rest,C4
77.0,E3,A3,
77.5,D3,,D4
78.0,C3,,E4
79.0,,C4,
79.5,,,F4
80.0,Rest,,G4
80.5,,B3,
81.0,,A3,F4
81.5,,G3,
82.0,Rest,A3,
83.0,G3,E3,E4
84.0,A3,F3,
85.0,,,D4
86.0,B3,E3,E4
87.0,,G3,
88.0,C4,F3,A3
89.0,,E3,
89.5,D4,D3,
90.0,E4,C3,C4
91.5,F4,,
92.0,G4,Rest,B3
93.0,F4,,A3
94.0,,Rest,
94.5,,,G3
95.0,E4,G3,F3
95.5,,,E3
96.0,,A3,F3
97.0,D4,,
98.0,E4,B3,E3
100.0,A3,C4,Rest
101.5,,D4,
102.0,C4,E4,A3
103.5,,F4,
104.0,B3,G4,G3
105.0,A3,F4,C4
106.5,G3,,
107.0,F3,E4,B3
107.5,E3,,
108.0,F3,,
109.0,,D4,A3
110.0,E3,E4,B3
112.0,Rest,A3,E4
114.0,A3,C4,
115.0,,,D4
115.5,,,C4
116.0,G3,B3,D4
117.0,C4,A3,E4
118.0,,,A3
118.5,,G3,
119.0,B3,F3,E4
119.5,,E3,
120.0,,F3,C4
121.0,A3,,D4
122.0,B3,E3,E4
124.0,E4,Rest,A3
126.0,,A3,C4
127.0,D4,,
127.5,C4,,
128.0,D4,G3,B3
129.0,E4,C4,A3
130.0,A3,,
130.5,,,G3
131.0,E4,B3,F3
131.5,,,E3
132.0,C4,,F3
133.0,D4,A3,
134.0,E4,B3,E3
136.0,A3,E4,Rest
138.0,C4,,
139.0,,D4,
139.5,,C4,
140.0,B3,D4,Rest
141.0,A3,E4,
142.0,,A3,
142.5,G3,,
143.0,F3,E4,
143.5,E3,,
144.0,F3,C4,Rest
145.0,,D4,
146.0,E3,E4,
148.0,Rest,A3,E4
150.0,,C4,
151.0,,,D4
151.5,,,C4
152.0,Rest,B3,D4
153.0,,A3,E4
154.0,,,A3
154.5,,G3,
155.0,,F3,E4
155.5,,E3,
156.0,Rest,F3,C4
157.0,,,A3
158.0,,E3,B3
160.0,E4,Rest,A3
162.0,,,A3
163.0,D4,,A3
163.5,C4,,
164.0,D4,Rest,G3
165.0,E4,,
166.0,A3,,C4
167.0,E4,,
168.0,C4,Rest,C4
169.0,A3,,C4
170.0,B3,,D4
171.0,,,D4
172.0,A3,E4,C4
174.0,A3,,
175.0,A3,D4,
175.5,,C4,
176.0,G3,D4,Rest
177.0,,E4,
178.0,C4,A3,
179.0,,E4,
180.0,C4,C4,Rest
181.0,C4,A3,
182.0,D4,B3,
183.0,D4,,
184.0,C4,A3,E4
186.0,,A3,
187.0,,A3,D4
187.5,,,C4
188.0,Rest,G3,D4
189.0,,,E4
190.0,,C4,A3
191.0,,,E4
192.0,Rest,C4,C4
193.0,,C4,A3
194.0,,D4,B3
195.0,,D4,
196.0,E4,C4,A3
197.5,,,B3
198.0,,,C4
198.5,,,D4
199.0,D4,,E4
199.5,C4,,
200.0,D4,Rest,F4
201.0,E4,,G4
202.0,A3,,E4
203.0,E4,,
203.5,,,F4
204.0,C4,Rest,G4
205.0,A3,,A4
206.0,B3,,
207.0,,,G4
208.0,A3,E4,A4
209.5,B3,,
210.0,C4,,G4
210.5,D4,,
211.0,E4,D4,
211.5,,C4,F4
211.75,,,E4
212.0,F4,D4,D4
213.0,G4,E4,C4
214.0,E4,A3,
214.5,,,B3
214.75,,,A3
215.0,,E4,G3
215.5,F4,,F3
216.0,G4,C4,E3
217.0,A4,A3,F3
218.0,,B3,E3
219.0,G#4,,
220.0,A4,A3,A2
