Indexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer
Parts,0,1,2,3
,,,,
0.0,E4,Rest,Rest,Rest
4.0,--,A3,--,--
8.0,--,--,Rest,Rest
12.0,C4,--,--,--
16.0,D4,F3,Rest,Rest
20.0,E4,G3,--,--
24.0,--,A3,Rest,Rest
26.0,A3,--,--,--
28.0,A3,--,--,--
30.0,--,D3,--,--
32.0,--,D3,Rest,Rest
36.0,F4,--,--,--
40.0,F4,Rest,Rest,Rest
44.0,--,D4,--,--
48.0,E4,C4,Rest,Rest
50.0,--,A3,--,--
53.0,--,G3,--,--
54.0,--,G3,--,--
56.0,E4,A3,Rest,Rest
57.0,--,G3,--,--
58.0,--,C4,--,--
60.0,D4,B3,--,--
62.0,C4,A3,--,--
64.0,B3,--,E3,Rest
66.0,--,G#3,--,--
68.0,A3,A3,--,A2
70.0,C4,--,--,--
72.0,--,C4,--,--
73.0,D4,--,--,--
74.0,E4,--,--,--
76.0,--,--,C3,--
78.0,D4,B3,--,--
79.0,C4,--,--,--
80.0,F4,A3,D3,F2
83.0,E4,--,--,--
84.0,E4,G3,E3,G2
85.0,D4,--,--,--
86.0,D4,F3,--,--
88.0,--,E3,--,A2
90.0,C#4,--,C3,--
91.0,B3,--,--,--
92.0,C#4,--,A2,--
94.0,D4,D3,--,D2
96.0,D4,D3,--,D2
100.0,--,--,F3,--
104.0,--,Rest,F3,Rest
108.0,--,--,--,D3
112.0,Rest,Rest,E3,C3
114.0,--,--,--,A2
117.0,--,--,--,G2
118.0,--,--,--,G2
120.0,Rest,Rest,E3,A2
121.0,--,--,--,G2
122.0,--,--,--,C3
124.0,--,--,D3,B2
126.0,--,--,C3,A2
128.0,Rest,Rest,B2,--
130.0,--,--,--,G#2
132.0,C4,Rest,A2,A2
134.0,--,A3,--,--
136.0,--,--,F3,Rest
138.0,C4,A3,--,F2
140.0,C4,A3,--,--
141.0,--,--,--,G2
142.0,--,--,F3,A2
143.0,D4,--,--,B2
144.0,E4,--,E3,C3
146.0,--,--,E3,C3
148.0,Rest,Rest,A3,F2
150.0,F4,--,--,F2
152.0,G4,C4,G3,C3
156.0,G4,C4,Rest,C3
158.0,--,--,G3,--
159.0,--,--,--,D3
160.0,--,C4,--,E3
162.0,F4,--,A3,F3
164.0,G4,--,G3,E3
166.0,F4,D4,A3,D3
168.0,--,B3,--,--
169.0,E4,--,G3,--
170.0,E4,C4,E3,C3
172.0,--,A3,F3,D3
174.0,D4,--,--,--
176.0,E4,Rest,E3,A2
180.0,--,A3,--,--
184.0,--,C4,--,--
187.0,--,D4,--,--
188.0,--,B3,--,Rest
192.0,--,A3,Rest,A2
194.0,--,C4,--,--
196.0,--,--,E3,--
198.0,--,B3,--,--
199.0,--,A3,--,--
200.0,Rest,G3,--,C3
202.0,--,A3,--,--
204.0,--,--,G3,B2
206.0,--,G#3,--,--
208.0,Rest,A3,F3,A2
212.0,--,Rest,E3,C3
216.0,Rest,Rest,G3,--
220.0,--,--,--,G2
224.0,Rest,Rest,D3,Rest
226.0,--,--,--,D3
228.0,--,--,Rest,E3
230.0,--,--,G3,--
231.0,--,--,--,C3
232.0,Rest,Rest,A3,F3
235.0,--,--,B3,--
236.0,--,--,C4,--
238.0,--,--,D4,--
240.0,Rest,Rest,--,E3
241.0,--,--,C4,--
242.0,--,--,C4,--
243.0,--,--,--,D3
243.5,--,--,--,C3
244.0,D4,--,--,D3
246.0,--,--,B3,--
248.0,G4,Rest,C4,C3
256.0,G4,Rest,--,--
260.0,Rest,E3,--,--
262.0,E4,--,--,--
264.0,--,A3,--,Rest
266.0,E4,--,--,--
268.0,E4,--,--,A2
270.0,E4,--,--,--
272.0,F4,A3,Rest,D3
276.0,--,Rest,A3,--
278.0,--,A3,--,--
280.0,--,--,D4,D3
282.0,--,A3,--,--
284.0,E4,A3,C4,Rest
286.0,--,A3,--,--
288.0,D4,B3,F3,D3
290.0,F4,--,--,--
291.0,--,--,F3,D3
292.0,--,A3,F3,D3
293.0,G4,--,--,--
294.0,A4,--,F3,D3
295.0,F4,--,--,--
296.0,B-4,Rest,F3,D3
298.0,A4,D4,--,--
300.0,--,--,G3,E3
301.0,G4,B3,--,--
302.0,G4,C4,--,--
304.0,--,D4,A3,D3
306.0,F#4,--,--,--
307.0,E4,--,--,--
308.0,F#4,--,--,--
312.0,G4,B3,G3,G2
320.0,Rest,Rest,--,--
324.0,D4,--,--,--
328.0,G4,G3,Rest,Rest
332.0,G4,C4,--,--
334.0,G4,--,--,--
336.0,G4,C4,Rest,Rest
338.0,--,C4,--,--
339.0,A4,--,--,--
340.0,B4,D4,--,G2
344.0,E4,C4,E3,C3
348.0,--,E4,G3,C3
350.0,--,--,--,C3
352.0,G4,--,G3,C3
355.0,--,--,--,D3
356.0,G4,E4,--,E3
358.0,--,--,G3,--
360.0,C5,E4,A3,A2
364.0,B4,E4,G3,E3
368.0,B4,E4,Rest,--
370.0,--,--,G3,--
372.0,--,--,--,E3
374.0,--,--,G3,--
376.0,A4,--,C4,A2
380.0,A4,--,C4,A2
384.0,B4,--,B3,E3
392.0,Rest,C4,A3,F3
396.0,--,D4,A3,F3
400.0,G4,E4,B3,E3
404.0,--,Rest,--,--
406.0,G4,E4,--,--
408.0,G4,--,--,--
410.0,--,E4,--,--
412.0,G4,E4,--,--
414.0,--,E4,--,--
416.0,A4,F4,Rest,Rest
417.0,--,E4,--,--
418.0,--,D4,--,--
419.0,--,C4,--,--
420.0,F4,D4,--,--
422.0,G4,E4,--,--
424.0,--,--,Rest,Rest
425.0,F4,D4,--,--
426.0,E4,D4,--,--
427.0,D4,--,--,--
428.0,E4,--,--,--
430.0,--,C#4,--,--
432.0,D4,D4,Rest,D3
436.0,--,--,A3,--
438.0,--,--,--,D3
440.0,Rest,Rest,B3,D3
442.0,--,--,A3,--
444.0,--,--,--,D3
446.0,--,--,D4,--
448.0,Rest,Rest,--,E3
449.0,--,--,C4,--
449.5,--,--,B3,--
450.0,--,--,C4,--
452.0,--,--,--,C3
453.0,--,--,B3,--
454.0,--,--,B3,D3
456.0,Rest,Rest,--,--
457.0,--,--,A3,C3
458.0,--,--,A3,B2
459.0,--,--,--,A2
460.0,D4,--,--,B2
461.0,--,--,G#3,--
462.0,--,--,G#3,--
463.0,E4,--,--,--
464.0,F4,Rest,A3,A2
466.0,E4,A3,--,--
468.0,D4,--,F3,D3
469.0,--,B3,--,--
470.0,E4,C4,G3,C3
472.0,--,D4,--,B2
473.0,D4,--,F3,--
474.0,D4,G3,E3,--
475.0,--,--,D3,--
476.0,--,A3,E3,A2
478.0,C#4,--,--,--
480.0,D4,A3,D3,Rest
488.0,Rest,Rest,--,Rest
492.0,--,D4,--,--
496.0,A4,--,--,Rest
500.0,--,D4,--,--
504.0,A4,F4,Rest,Rest
508.0,C5,C4,--,--
512.0,G4,E4,Rest,E3
516.0,B4,--,B3,--
520.0,--,Rest,--,E3
524.0,--,--,B3,G3
528.0,Rest,Rest,D4,D3
532.0,A4,--,A3,F3
536.0,A4,A3,C4,--
538.0,A4,--,--,--
540.0,C5,A3,--,--
542.0,C5,A3,--,--
544.0,G4,C4,Rest,Rest
546.0,--,C4,--,--
548.0,B4,G3,--,E3
552.0,--,B3,B3,E3
554.0,--,--,--,E3
556.0,--,--,B3,G3
558.0,--,--,B3,G3
560.0,Rest,Rest,D4,D3
562.0,--,--,D4,--
564.0,A4,--,A3,F3
568.0,A4,A3,C4,--
570.0,A4,--,--,--
572.0,C5,A3,--,--
574.0,--,A3,--,--
575.0,B4,--,--,--
576.0,A4,C4,Rest,Rest
578.0,G4,C4,--,--
580.0,F4,D4,--,--
584.0,E4,E4,A3,Rest
588.0,--,--,A3,A2
590.0,--,--,A3,--
592.0,Rest,Rest,C4,A2
594.0,--,--,--,A2
595.0,--,--,B3,--
596.0,--,--,A3,C3
598.0,--,--,G3,C3
600.0,Rest,Rest,F3,D3
604.0,G4,B3,E3,E3
608.0,G4,C4,G3,C3
610.0,G4,--,--,--
612.0,E4,--,G3,--
